City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bangjun,39.9911,117.2628,13.91,70,55,1.93,CN,1698776983
1,atafu village,-8.5421,-172.5159,28.42,76,84,7.27,TK,1698776990
2,codrington,-38.2667,141.9667,9.5,76,92,2.92,AU,1698777000
3,grytviken,-54.2811,-36.5092,3.79,92,94,0.34,GS,1698776430
4,haiku-pauwela,20.9219,-156.3051,25.09,79,20,0.45,US,1698776443
5,demerval lobao,-5.3583,-42.6764,37.67,17,49,1.06,BR,1698776448
6,avarua,-21.2078,-159.775,24.03,73,75,7.2,CK,1698776453
7,corinto,37.9407,22.9573,18.83,64,56,1.27,GR,1698776458
8,waitangi,-43.9535,-176.5597,13.23,96,100,6.26,NZ,1698776462
9,tiksi,71.6872,128.8694,-15.26,97,100,5.14,RU,1698776977
10,bilibino,68.0546,166.4372,-11.65,91,93,2.96,RU,1698776473
11,adamstown,-25.066,-130.1015,22.39,76,9,5.87,PN,1698777036
12,bamboo flat,11.7,92.7167,27.69,80,100,5.18,IN,1698776482
13,hovd,48.0056,91.6419,8.49,57,87,6.49,MN,1698776487
14,college,64.8569,-147.8028,-4.4,88,75,1.54,US,1698776492
15,hit,33.6416,42.8251,26.43,26,99,3.17,IQ,1698776224
16,iqaluit,63.7506,-68.5145,-9.15,78,100,11.83,CA,1698777050
17,bethel,41.3712,-73.414,11.2,52,40,1.54,US,1698777055
18,remire-montjoly,4.9167,-52.2667,33.02,58,40,5.14,GF,1698776510
19,rio grande,-32.035,-52.0986,21.06,74,98,5.77,BR,1698776490
20,port-aux-francais,-49.35,70.2167,3.82,97,100,16.18,TF,1698776520
21,milford haven,51.7128,-5.0341,12.81,95,100,7.36,GB,1698776534
22,laguna,38.421,-121.4238,22.27,47,0,2.06,US,1698777078
23,vadso,70.0744,29.7487,-1.51,86,40,6.69,NO,1698776546
24,el bolson,-41.9667,-71.5167,7.91,94,98,1.5,AR,1698776550
25,udachny,66.4167,112.4,-23.16,99,98,1.96,RU,1698776929
26,gidole,5.65,37.3667,15.26,78,46,1.41,ET,1698776564
27,riberalta,-10.9833,-66.1,30.11,70,75,2.06,BO,1698776568
28,port lincoln,-34.7333,135.8667,10.71,74,9,4.85,AU,1698776583
29,al ghayzah,16.2079,52.176,26.14,72,68,3.14,YE,1698776317
30,touros,-5.1989,-35.4608,26.57,78,5,9.88,BR,1698776592
31,sault ste. marie,46.5168,-84.3333,3.16,51,75,2.06,CA,1698777107
32,albany,42.6001,-73.9662,8.36,56,16,1.63,US,1698776356
33,yermentau,51.6214,73.1069,0.4,91,100,5.88,KZ,1698776605
34,itamaraca,-7.7478,-34.8256,29.03,48,16,5.67,BR,1698776610
35,qaqortoq,60.7167,-46.0333,1.89,94,100,4.7,GL,1698776615
36,tralee,52.2704,-9.7026,12.14,100,100,5.14,IE,1698776620
37,hawaiian paradise park,19.5933,-154.9731,25.49,90,0,3.36,US,1698777123
38,susuman,62.7833,148.1667,-17.23,99,100,1.34,RU,1698776630
39,kodiak,57.79,-152.4072,7.73,87,100,3.6,US,1698776635
40,carnarvon,-24.8667,113.6333,21.43,77,0,7.61,AU,1698776640
41,abadeh,31.1608,52.6506,14.89,42,100,4.88,IR,1698776645
42,new plymouth,-39.0667,174.0833,13.51,80,57,2.99,NZ,1698777137
43,polyarnyy,69.1989,33.4478,-0.06,79,98,4.17,RU,1698776654
44,enewetak,11.3474,162.3373,28.42,75,88,8.07,MH,1698776659
45,barrancas,10.9576,-72.7877,31.03,67,93,1.58,CO,1698776664
46,namibe,-15.1961,12.1522,19.56,77,4,4.03,AO,1698776669
47,bredasdorp,-34.5322,20.0403,15.52,87,97,6.18,ZA,1698777150
48,rikaze,29.25,88.8833,3.01,50,9,1.46,CN,1698777156
49,bubaque,11.2833,-15.8333,28.94,72,24,4.17,GW,1698777166
50,ushuaia,-54.8,-68.3,7.79,60,40,11.18,AR,1698776703
51,puerto natales,-51.7236,-72.4875,10.25,46,0,4.63,CL,1698777173
52,bayanaul,50.7889,75.6956,0.71,79,93,7.6,KZ,1698777178
53,titlagarh,20.3,83.15,19.29,80,0,0.93,IN,1698777191
54,saynshand,44.8824,110.1163,5.15,67,100,0.94,MN,1698777196
55,badger,64.8,-147.5333,-0.66,91,75,1.54,US,1698777201
56,chinch'on,36.8567,127.4433,14.63,82,75,1.54,KR,1698777215
57,ende,-8.8432,121.6623,24.65,92,99,0.44,ID,1698777220
58,pemangkat,1.1667,108.9667,28.33,72,97,2.82,ID,1698777224
59,dudinka,69.4058,86.1778,-14.1,97,99,0.89,RU,1698777229
60,yamba,-5.9,22.3,22.09,98,100,3.26,CD,1698777242
61,prineville,44.2999,-120.8345,11.7,25,0,4.63,US,1698777058
62,podenzano,44.9564,9.685,14.76,90,0,1.54,IT,1698777251
63,kolokani,13.5728,-8.0339,31.69,18,13,3.8,ML,1698777256
64,ribeira grande,38.5167,-28.7,20.22,68,20,5.66,PT,1698777261
65,papatowai,-46.5619,169.4708,10.74,87,51,1.06,NZ,1698777266
66,viqueque,-8.8673,126.3658,23.43,95,59,0.75,TL,1698777271
67,lata,40.1629,-8.3327,16.15,75,49,3.55,PT,1698777277
68,la ligua,-32.4524,-71.2311,20.26,43,6,4.28,CL,1698777281
69,seven pagodas,12.6264,80.1722,28.92,93,71,2.43,IN,1698777286
70,hamilton,39.1834,-84.5333,8.47,53,20,6.69,US,1698776667
71,doctor arroyo,23.6667,-100.1833,19.43,46,100,2.39,MX,1698777308
72,newman,37.3138,-121.0208,20.13,44,100,0.45,US,1698777313
73,uturoa,-16.7333,-151.4333,26.45,78,0,9.72,PF,1698777322
